Date,Barrage,Capacite Normale (Mm3),Reserve (Mm3),Taux de Remplissage (%)
2025-10-31,El Mellah,35,10.304,29.44
2025-10-31,El Himer,14,1.087,7.76429
2025-10-31,Maazer,13,-,-
2025-10-31,O. Hassar,2.24,-,-
2025-10-31,Ain Kouachia,11,6.798,61.8
2025-10-31,Zamrine,0.496,0.345,69.5564
2025-10-31,Réserve totale,,691.9279,
2025-10-30,Sidi Mohammed Ben Abdellah,974.788,657.175,67.4172
2025-10-30,Tamesna,57,16.249,28.507
2025-10-30,El Mellah,35,10.331,29.5171
2025-10-30,El Himer,14,1.087,7.76429
2025-10-30,Maazer,13,-,-
2025-10-30,O. Hassar,2.24,-,-
2025-10-30,Ain Kouachia,11,6.798,61.8
2025-10-30,Zamrine,0.496,0.345,69.5564
2025-10-30,Réserve totale,,691.9849,
2025-10-29,Sidi Mohammed Ben Abdellah,974.788,656.815,67.3803
2025-10-29,Tamesna,57,16.279,28.5596
2025-10-29,El Mellah,35,10.331,29.5171
2025-10-29,El Himer,14,1.09,7.78571
2025-10-29,Maazer,13,0,0
2025-10-29,O. Hassar,2.24,0,0
2025-10-29,Ain Kouachia,11,6.761,61.4636
2025-10-29,Zamrine,0.496,0.346,69.7581
2025-10-29,Réserve totale,,691.622,
2025-10-28,Sidi Mohammed Ben Abdellah,974.788,656.815,67.3803
2025-10-28,Tamesna,57,16.308,28.6105
2025-10-28,El Mellah,35,10.358,29.5943
2025-10-28,El Himer,14,1.09,7.78571
2025-10-28,Maazer,13,0,0
2025-10-28,O. Hassar,2.24,0,0
2025-10-28,Ain Kouachia,11,6.761,61.4636
2025-10-28,Zamrine,0.496,0.346,69.7581
2025-10-28,Réserve totale,,691.678,
2025-10-27,Sidi Mohammed Ben Abdellah,974.788,656.454,67.3433
2025-10-27,Tamesna,57,16.338,28.6632
2025-10-27,El Mellah,35,10.385,29.6714
2025-10-27,El Himer,14,1.093,7.80714
2025-10-27,Maazer,13,0,0
2025-10-27,O. Hassar,2.24,0,0
2025-10-27,Ain Kouachia,11,6.773,61.5727
2025-10-27,Zamrine,0.496,0.348,70.1613
2025-10-27,Réserve totale,,691.39105,
2025-10-26,Sidi Mohammed Ben Abdellah,974.788,656.454,67.3433
2025-10-26,Tamesna,57,16.367,28.714
2025-10-26,El Mellah,35,10.412,29.7486
2025-10-26,El Himer,14,1.093,7.80714
2025-10-26,Maazer,13,0,0
2025-10-26,O. Hassar,2.24,0,0
2025-10-26,Ain Kouachia,11,6.773,61.5727
2025-10-26,Zamrine,0.496,0.347,69.9597
2025-10-26,Réserve totale,,691.446,
2025-10-25,Sidi Mohammed Ben Abdellah,974.788,656.093,67.3062
2025-10-25,Tamesna,57,16.382,28.7404
2025-10-25,El Mellah,35,10.412,29.7486
2025-10-25,El Himer,14,1.096,7.82857
2025-10-25,Maazer,13,0,0
2025-10-25,O. Hassar,2.24,0,0
2025-10-25,Ain Kouachia,11,6.773,61.5727
2025-10-25,Zamrine,0.496,0.349,70.3629
2025-10-25,Réserve totale,,691.10504,
2025-10-24,Sidi Mohammed Ben Abdellah,974.788,656.093,67.3062
2025-10-24,Tamesna,57,16.412,28.793
2025-10-24,El Mellah,35,10.439,29.8257
2025-10-24,El Himer,14,1.096,7.82857
2025-10-24,Maazer,13,0,0
2025-10-24,O. Hassar,2.24,0,0
2025-10-24,Ain Kouachia,11,6.786,61.6909
2025-10-24,Zamrine,0.496,0.349,70.3629
2025-10-24,Réserve totale,,691.17505,
2025-10-23,Sidi Mohammed Ben Abdellah,974.788,655.733,67.2693
2025-10-23,Tamesna,57,16.442,28.8456
2025-10-23,El Mellah,35,10.467,29.9057
2025-10-23,El Himer,14,1.099,7.85
2025-10-23,Maazer,13,0,0
2025-10-23,O. Hassar,2.24,0,0
2025-10-23,Ain Kouachia,11,6.786,61.6909
2025-10-23,Zamrine,0.496,0.349,70.3629
2025-10-23,Réserve totale,,690.876,
2025-10-22,Sidi Mohammed Ben Abdellah,974.788,655.733,67.2693
2025-10-22,Tamesna,57,16.457,28.8719
2025-10-22,El Mellah,35,10.467,29.9057
2025-10-22,El Himer,14,1.102,7.87143
2025-10-22,Maazer,13,0,0
2025-10-22,O. Hassar,2.24,0,0
2025-10-22,Ain Kouachia,11,6.798,61.8
2025-10-22,Zamrine,0.496,0.35,70.5645
2025-10-22,Réserve totale,,690.90686,
2025-10-21,Sidi Mohammed Ben Abdellah,974.788,655.733,67.2693
2025-10-21,Tamesna,57,16.487,28.9246
2025-10-21,El Mellah,35,10.495,29.9857
2025-10-21,El Himer,14,1.105,7.89286
2025-10-21,Maazer,13,0,0
2025-10-21,O. Hassar,2.24,0,0
2025-10-21,Ain Kouachia,11,6.81,61.9091
2025-10-21,Zamrine,0.496,0.35,70.5645
2025-10-21,Réserve totale,,690.9799,
2025-10-20,Sidi Mohammed Ben Abdellah,974.788,655.373,67.2324
2025-10-20,Tamesna,57,16.517,28.9772
2025-10-20,El Mellah,35,10.522,30.0629
2025-10-20,El Himer,14,1.105,7.89286
2025-10-20,Maazer,13,0,0
2025-10-20,O. Hassar,2.24,0,0
2025-10-20,Ain Kouachia,11,6.81,61.9091
2025-10-20,Zamrine,0.496,0.351,70.7661
2025-10-20,Réserve totale,,690.678,
2025-10-19,Sidi Mohammed Ben Abdellah,974.788,655.373,67.2324
2025-10-19,Tamesna,57,16.532,29.0035
2025-10-19,El Mellah,35,10.549,30.14
2025-10-19,El Himer,14,1.108,7.91429
2025-10-19,Maazer,13,0,0
2025-10-19,O. Hassar,2.24,0,0
2025-10-19,Ain Kouachia,11,6.822,62.0182
2025-10-19,Zamrine,0.496,0.351,70.7661
2025-10-19,Réserve totale,,690.735,
2025-10-18,Sidi Mohammed Ben Abdellah,974.788,655.373,67.2324
2025-10-18,Tamesna,57,16.562,29.0561
2025-10-18,El Mellah,35,10.576,30.2171
2025-10-18,El Himer,14,1.108,7.91429
2025-10-18,Maazer,13,0,0
2025-10-18,O. Hassar,2.24,0,0
2025-10-18,Ain Kouachia,11,6.822,62.0182
2025-10-18,Zamrine,0.496,0.352,70.9677
2025-10-18,Réserve totale,,690.79297,
2025-10-17,Sidi Mohammed Ben Abdellah,974.788,655.013,67.1954
2025-10-17,Tamesna,57,16.592,29.1088
2025-10-17,El Mellah,35,10.604,30.2971
2025-10-17,El Himer,14,1.111,7.93571
2025-10-17,Maazer,13,0,0
2025-10-17,O. Hassar,2.24,0,0
2025-10-17,Ain Kouachia,11,6.822,62.0182
2025-10-17,Zamrine,0.496,0.352,70.9677
2025-10-17,Réserve totale,,690.494,
2025-10-16,Sidi Mohammed Ben Abdellah,974.788,655.013,67.1954
2025-10-16,Tamesna,57,16.607,29.1351
2025-10-16,El Mellah,35,10.604,30.2971
2025-10-16,El Himer,14,1.111,7.93571
2025-10-16,Maazer,13,0,0
2025-10-16,O. Hassar,2.24,0,0
2025-10-16,Ain Kouachia,11,6.835,62.1364
2025-10-16,Zamrine,0.496,0.353,71.1694
2025-10-16,Réserve totale,,690.5231,
2025-10-15,Sidi Mohammed Ben Abdellah,974.788,654.653,67.1585
2025-10-15,Tamesna,57,16.637,29.1877
2025-10-15,El Mellah,35,10.631,30.3743
2025-10-15,El Himer,14,1.115,7.96429
2025-10-15,Maazer,13,0,0
2025-10-15,O. Hassar,2.24,0,0
2025-10-15,Ain Kouachia,11,6.847,62.2455
2025-10-15,Zamrine,0.496,0.353,71.1694
2025-10-15,Réserve totale,,690.236,
2025-10-14,Sidi Mohammed Ben Abdellah,974.788,655.733,67.2693
2025-10-14,Tamesna,57,16.667,29.2404
2025-10-14,El Mellah,35,10.658,30.4514
2025-10-14,El Himer,14,1.118,7.98571
2025-10-14,Maazer,13,0,0
2025-10-14,O. Hassar,2.24,0,0
2025-10-14,Ain Kouachia,11,6.847,62.2455
2025-10-14,Zamrine,0.496,0.355,71.5726
2025-10-14,Réserve totale,,691.3779,
2025-10-13,Sidi Mohammed Ben Abdellah,974.788,655.733,67.2693
2025-10-13,Tamesna,57,16.682,29.2667
2025-10-13,El Mellah,35,10.686,30.5314
2025-10-13,El Himer,14,1.121,8.00714
2025-10-13,Maazer,13,0,0
2025-10-13,O. Hassar,2.24,0,0
2025-10-13,Ain Kouachia,11,6.847,62.2455
2025-10-13,Zamrine,0.496,0.356,71.7742
2025-10-13,Réserve totale,,691.4249,
2025-10-12,Sidi Mohammed Ben Abdellah,974.788,655.733,67.2693
2025-10-12,Tamesna,57,16.713,29.3211
2025-10-12,El Mellah,35,10.713,30.6086
2025-10-12,El Himer,14,1.121,8.00714
2025-10-12,Maazer,13,0,0
2025-10-12,O. Hassar,2.24,0,0
2025-10-12,Ain Kouachia,11,6.859,62.3545
2025-10-12,Zamrine,0.496,0.356,71.7742
2025-10-12,Réserve totale,,691.495,
2025-10-11,Sidi Mohammed Ben Abdellah,974.788,655.373,67.2324
2025-10-11,Tamesna,57,16.743,29.3737
2025-10-11,El Mellah,35,10.74,30.6857
2025-10-11,El Himer,14,1.124,8.02857
2025-10-11,Maazer,13,0,0
2025-10-11,O. Hassar,2.24,0,0
2025-10-11,Ain Kouachia,11,6.859,62.3545
2025-10-11,Zamrine,0.496,0.357,71.9758
2025-10-11,Réserve totale,,691.196,
2025-10-10,Sidi Mohammed Ben Abdellah,974.788,655.373,67.2324
2025-10-10,Tamesna,57,16.773,29.4263
2025-10-10,El Mellah,35,10.768,30.7657
2025-10-10,El Himer,14,1.124,8.02857
2025-10-10,Maazer,13,0,0
2025-10-10,O. Hassar,2.24,0,0
2025-10-10,Ain Kouachia,11,6.871,62.4636
2025-10-10,Zamrine,0.496,0.357,71.9758
2025-10-10,Réserve totale,,691.266,
2025-10-09,Sidi Mohammed Ben Abdellah,974.788,655.373,67.2324
2025-10-09,Tamesna,57,16.804,29.4807
2025-10-09,El Mellah,35,10.768,30.7657
2025-10-09,El Himer,14,1.127,8.05
2025-10-09,Maazer,13,0,0
2025-10-09,O. Hassar,2.24,0,0
2025-10-09,Ain Kouachia,11,6.884,62.5818
2025-10-09,Zamrine,0.496,0.357,71.9758
2025-10-09,Réserve totale,,691.313,
2025-10-08,Sidi Mohammed Ben Abdellah,974.788,655.373,67.2324
2025-10-08,Tamesna,57,16.834,29.5333
2025-10-08,El Mellah,35,10.795,30.8429
2025-10-08,El Himer,14,1.13,8.07143
2025-10-08,Maazer,13,0,0
2025-10-08,O. Hassar,2.24,0,0
2025-10-08,Ain Kouachia,11,6.884,62.5818
2025-10-08,Zamrine,0.496,0.358,72.1774
2025-10-08,Réserve totale,,691.3739,
2025-10-07,Sidi Mohammed Ben Abdellah,974.788,655.373,67.2324
2025-10-07,Tamesna,57,16.865,29.5877
2025-10-07,El Mellah,35,10.823,30.9229
2025-10-07,El Himer,14,1.13,8.07143
2025-10-07,Maazer,13,0,0
2025-10-07,O. Hassar,2.24,0,0
2025-10-07,Ain Kouachia,11,6.896,62.6909
2025-10-07,Zamrine,0.496,0.358,72.1774
2025-10-07,Réserve totale,,691.44495,
2025-10-06,Sidi Mohammed Ben Abdellah,974.788,655.013,67.1954
2025-10-06,Tamesna,57,16.88,29.614
2025-10-06,El Mellah,35,10.823,30.9229
2025-10-06,El Himer,14,1.1,7.85714
2025-10-06,Maazer,13,0,0
2025-10-06,O. Hassar,2.24,0,0
2025-10-06,Ain Kouachia,11,6.896,62.6909
2025-10-06,Zamrine,0.496,0.359,72.379
2025-10-06,Réserve totale,,691.071,
2025-10-05,Sidi Mohammed Ben Abdellah,974.788,655.013,67.1954
2025-10-05,Tamesna,57,16.911,29.6684
2025-10-05,El Mellah,35,10.85,31
2025-10-05,El Himer,14,1.133,8.09286
2025-10-05,Maazer,13,0,0
2025-10-05,O. Hassar,2.24,0,0
2025-10-05,Ain Kouachia,11,6.908,62.8
2025-10-05,Zamrine,0.496,0.359,72.379
2025-10-05,Réserve totale,,691.174,
2025-10-04,Sidi Mohammed Ben Abdellah,974.788,655.013,67.1954
2025-10-04,Tamesna,57,16.911,29.6684
2025-10-04,El Mellah,35,10.85,31
2025-10-04,El Himer,14,1.136,8.11429
2025-10-04,Maazer,13,0,0
2025-10-04,O. Hassar,2.24,0,0
2025-10-04,Ain Kouachia,11,6.908,62.8
2025-10-04,Zamrine,0.496,0.359,72.379
2025-10-04,Réserve totale,,691.177,
2025-10-03,Sidi Mohammed Ben Abdellah,974.788,654.653,67.1585
2025-10-03,Tamesna,57,16.926,29.6947
2025-10-03,El Mellah,35,10.877,31.0771
2025-10-03,El Himer,14,1.136,8.11429
2025-10-03,Maazer,13,0,0
2025-10-03,O. Hassar,2.24,0,0
2025-10-03,Ain Kouachia,11,6.92,62.9091
2025-10-03,Zamrine,0.496,0.359,72.379
2025-10-03,Réserve totale,,690.87103,
2025-10-02,Sidi Mohammed Ben Abdellah,974.788,654.653,67.1585
2025-10-02,Tamesna,57,16.942,29.7228
2025-10-02,El Mellah,35,10.877,31.0771
2025-10-02,El Himer,14,1.14,8.14286
2025-10-02,Maazer,13,0,0
2025-10-02,O. Hassar,2.24,0,0
2025-10-02,Ain Kouachia,11,6.92,62.9091
2025-10-02,Zamrine,0.496,0.36,72.5806
2025-10-02,Réserve totale,,690.892,
2025-10-01,Sidi Mohammed Ben Abdellah,974.788,654.653,67.1585
2025-10-01,Tamesna,57,16.957,29.7491
2025-10-01,El Mellah,35,10.905,31.1571
2025-10-01,El Himer,14,1.14,8.14286
2025-10-01,Maazer,13,0,0
2025-10-01,O. Hassar,2.24,0,0
2025-10-01,Ain Kouachia,11,6.933,63.0273
2025-10-01,Zamrine,0.496,0.36,72.5806
2025-10-01,Réserve totale,,690.948,
2025-09-30,Sidi Mohammed Ben Abdellah,974.788,654.653,67.1585
2025-09-30,Tamesna,57,16.972,29.7754
2025-09-30,El Mellah,35,10.932,31.2343
2025-09-30,El Himer,14,1.143,8.16429
2025-09-30,Maazer,13,0,0
2025-09-30,O. Hassar,2.24,0,0
2025-09-30,Ain Kouachia,11,6.945,63.1364
2025-09-30,Zamrine,0.496,0.362,72.9839
2025-09-30,Réserve totale,,691.007,
2025-09-29,Sidi Mohammed Ben Abdellah,974.788,654.293,67.1216
2025-09-29,Tamesna,57,16.988,29.8035
2025-09-29,El Mellah,35,10.932,31.2343
2025-09-29,El Himer,14,1.143,8.16429
2025-09-29,Maazer,13,0,0
2025-09-29,O. Hassar,2.24,0,0
2025-09-29,Ain Kouachia,11,6.945,63.1364
2025-09-29,Zamrine,0.496,0.362,72.9839
2025-09-29,Réserve totale,,690.663,
2025-09-28,Sidi Mohammed Ben Abdellah,974.788,654.293,67.1216
2025-09-28,Tamesna,57,17.003,29.8298
2025-09-28,El Mellah,35,10.96,31.3143
2025-09-28,El Himer,14,1.146,8.18571
2025-09-28,Maazer,13,0,0
2025-09-28,O. Hassar,2.24,0,0
2025-09-28,Ain Kouachia,11,6.957,63.2455
2025-09-28,Zamrine,0.496,0.363,73.1855
2025-09-28,Réserve totale,,690.722,
2025-09-27,Sidi Mohammed Ben Abdellah,974.788,654.293,67.1216
2025-09-27,Tamesna,57,17.019,29.8579
2025-09-27,El Mellah,35,10.987,31.3914
2025-09-27,El Himer,14,1.149,8.20714
2025-09-27,Maazer,13,0,0
2025-09-27,O. Hassar,2.24,0,0
2025-09-27,Ain Kouachia,11,6.957,63.2455
2025-09-27,Zamrine,0.496,0.363,73.1855
2025-09-27,Réserve totale,,690.76794,
2025-09-26,Sidi Mohammed Ben Abdellah,974.788,654.293,67.1216
2025-09-26,Tamesna,57,17.034,29.8842
2025-09-26,El Mellah,35,11.015,31.4714
2025-09-26,El Himer,14,1.152,8.22857
2025-09-26,Maazer,13,0,0
2025-09-26,O. Hassar,2.24,0,0
2025-09-26,Ain Kouachia,11,6.969,63.3545
2025-09-26,Zamrine,0.496,0.364,73.3871
2025-09-26,Réserve totale,,690.827,
2025-09-25,Sidi Mohammed Ben Abdellah,974.788,654.293,67.1216
2025-09-25,Tamesna,57,17.05,29.9123
2025-09-25,El Mellah,35,11.042,31.5486
2025-09-25,El Himer,14,1.156,8.25714
2025-09-25,Maazer,13,0,0
2025-09-25,O. Hassar,2.24,0,0
2025-09-25,Ain Kouachia,11,6.982,63.4727
2025-09-25,Zamrine,0.496,0.364,73.3871
2025-09-25,Réserve totale,,690.887,
2025-09-24,Sidi Mohammed Ben Abdellah,974.788,653.934,67.0847
2025-09-24,Tamesna,57,17.065,29.9386
2025-09-24,El Mellah,35,11.069,31.6257
2025-09-24,El Himer,14,1.159,8.27857
2025-09-24,Maazer,13,0,0
2025-09-24,O. Hassar,2.24,0,0
2025-09-24,Ain Kouachia,11,6.994,63.5818
2025-09-24,Zamrine,0.496,0.365,73.5887
2025-09-24,Réserve totale,,690.586,
2025-09-23,Sidi Mohammed Ben Abdellah,974.788,653.934,67.0847
2025-09-23,Tamesna,57,17.096,29.993
2025-09-23,El Mellah,35,11.097,31.7057
2025-09-23,El Himer,14,1.159,8.27857
2025-09-23,Maazer,13,0,0
2025-09-23,O. Hassar,2.24,0,0
2025-09-23,Ain Kouachia,11,7.006,63.6909
2025-09-23,Zamrine,0.496,1.159,233.669
2025-09-23,Réserve totale,,691.451,
2025-09-22,Sidi Mohammed Ben Abdellah,974.788,653.934,67.0847
2025-09-22,Tamesna,57,17.127,30.0474
2025-09-22,El Mellah,35,11.124,31.7829
2025-09-22,El Himer,14,1.162,8.3
2025-09-22,Maazer,13,0,0
2025-09-22,O. Hassar,2.24,0,0
2025-09-22,Ain Kouachia,11,7.006,63.6909
2025-09-22,Zamrine,0.496,0.366,73.7903
2025-09-22,Réserve totale,,690.71906,
2025-09-21,Sidi Mohammed Ben Abdellah,974.788,653.934,67.0847
2025-09-21,Tamesna,57,17.158,30.1018
2025-09-21,El Mellah,35,11.152,31.8629
2025-09-21,El Himer,14,1.162,8.3
2025-09-21,Maazer,13,0,0
2025-09-21,O. Hassar,2.24,0,0
2025-09-21,Ain Kouachia,11,7.018,63.8
2025-09-21,Zamrine,0.496,0.366,73.7903
2025-09-21,Réserve totale,,690.79004,
2025-09-20,Sidi Mohammed Ben Abdellah,974.788,653.934,67.0847
2025-09-20,Tamesna,57,17.189,30.1561
2025-09-20,El Mellah,35,11.179,31.94
2025-09-20,El Himer,14,1.165,8.32143
2025-09-20,Maazer,13,0,0
2025-09-20,O. Hassar,2.24,0,0
2025-09-20,Ain Kouachia,11,7.031,63.9182
2025-09-20,Zamrine,0.496,0.367,73.9919
2025-09-20,Réserve totale,,690.86505,
2025-09-19,Sidi Mohammed Ben Abdellah,974.788,653.934,67.0847
2025-09-19,Tamesna,57,17.205,30.1842
2025-09-19,El Mellah,35,11.207,32.02
2025-09-19,El Himer,14,1.168,8.34286
2025-09-19,Maazer,13,0,0
2025-09-19,O. Hassar,2.24,0,0
2025-09-19,Ain Kouachia,11,7.031,63.9182
2025-09-19,Zamrine,0.496,0.367,73.9919
2025-09-19,Réserve totale,,690.91205,
2025-09-18,Sidi Mohammed Ben Abdellah,974.788,653.934,67.0847
2025-09-18,Tamesna,57,17.236,30.2386
2025-09-18,El Mellah,35,11.234,32.0971
2025-09-18,El Himer,14,1.171,8.36429
2025-09-18,Maazer,13,0,0
2025-09-18,O. Hassar,2.24,0,0
2025-09-18,Ain Kouachia,11,7.043,64.0273
2025-09-18,Zamrine,0.496,0.369,74.3952
2025-09-18,Réserve totale,,690.9871,
2025-09-17,Sidi Mohammed Ben Abdellah,974.788,653.934,67.0847
2025-09-17,Tamesna,57,17.267,30.293
2025-09-17,El Mellah,35,11.262,32.1771
2025-09-17,El Himer,14,1.175,8.39286
2025-09-17,Maazer,13,0,0
2025-09-17,O. Hassar,2.24,0,0
2025-09-17,Ain Kouachia,11,7.043,64.0273
2025-09-17,Zamrine,0.496,0.369,74.3952
2025-09-17,Réserve totale,,691.0501,
2025-09-16,Sidi Mohammed Ben Abdellah,974.788,653.574,67.0478
2025-09-16,Tamesna,57,17.299,30.3491
2025-09-16,El Mellah,35,11.289,32.2543
2025-09-16,El Himer,14,1.178,8.41429
2025-09-16,Maazer,13,0,0
2025-09-16,O. Hassar,2.24,0,0
2025-09-16,Ain Kouachia,11,7.055,64.1364
2025-09-16,Zamrine,0.496,0.37,74.5968
2025-09-16,Réserve totale,,690.76495,
2025-09-15,Sidi Mohammed Ben Abdellah,974.788,653.574,67.0478
2025-09-15,Tamesna,57,17.33,30.4035
2025-09-15,El Mellah,35,11.317,32.3343
2025-09-15,El Himer,14,1.178,8.41429
2025-09-15,Maazer,13,0,0
2025-09-15,O. Hassar,2.24,0,0
2025-09-15,Ain Kouachia,11,7.055,64.1364
2025-09-15,Zamrine,0.496,0.37,74.5968
2025-09-15,Réserve totale,,690.824,
2025-09-14,Sidi Mohammed Ben Abdellah,974.788,653.574,67.0478
2025-09-14,Tamesna,57,17.362,30.4597
2025-09-14,El Mellah,35,11.344,32.4114
2025-09-14,El Himer,14,1.181,8.43571
2025-09-14,Maazer,13,0,0
2025-09-14,O. Hassar,2.24,0,0
2025-09-14,Ain Kouachia,11,7.055,64.1364
2025-09-14,Zamrine,0.496,0.371,74.7984
2025-09-14,Réserve totale,,690.88696,
2025-09-13,Sidi Mohammed Ben Abdellah,974.788,653.574,67.0478
2025-09-13,Tamesna,57,17.393,30.514
2025-09-13,El Mellah,35,11.372,32.4914
2025-09-13,El Himer,14,1.181,8.43571
2025-09-13,Maazer,13,0,0
2025-09-13,O. Hassar,2.24,0,0
2025-09-13,Ain Kouachia,11,7.067,64.2455
2025-09-13,Zamrine,0.496,0.371,74.7984
2025-09-13,Réserve totale,,690.958,
2025-09-12,Sidi Mohammed Ben Abdellah,974.788,653.574,67.0478
2025-09-12,Tamesna,57,17.425,30.5702
2025-09-12,El Mellah,35,11.4,32.5714
2025-09-12,El Himer,14,1.184,8.45714
2025-09-12,Maazer,13,0,0
2025-09-12,O. Hassar,2.24,0,0
2025-09-12,Ain Kouachia,11,7.08,64.3636
2025-09-12,Zamrine,0.496,0.371,74.7984
2025-09-12,Réserve totale,,691.034,
2025-09-11,Sidi Mohammed Ben Abdellah,974.788,653.574,67.0478
2025-09-11,Tamesna,57,17.456,30.6246
2025-09-11,El Mellah,35,11.427,32.6486
2025-09-11,El Himer,14,1.184,8.45714
2025-09-11,Maazer,13,0,0
2025-09-11,O. Hassar,2.24,0,0
2025-09-11,Ain Kouachia,11,7.092,64.4727
2025-09-11,Zamrine,0.496,0.372,75
2025-09-11,Réserve totale,,691.105,
2025-09-10,Sidi Mohammed Ben Abdellah,974.788,653.574,67.0478
2025-09-10,Tamesna,57,17.488,30.6807
2025-09-10,El Mellah,35,11.455,32.7286
2025-09-10,El Himer,14,1.188,8.48571
2025-09-10,Maazer,13,0,0
2025-09-10,O. Hassar,2.24,0,0
2025-09-10,Ain Kouachia,11,7.092,64.4727
2025-09-10,Zamrine,0.496,0.372,75
2025-09-10,Réserve totale,,691.16895,
2025-09-09,Sidi Mohammed Ben Abdellah,974.788,653.574,67.0478
2025-09-09,Tamesna,57,17.535,30.7632
2025-09-09,El Mellah,35,11.482,32.8057
2025-09-09,El Himer,14,1.188,8.48571
2025-09-09,Maazer,13,0,0
2025-09-09,O. Hassar,2.24,0,0
2025-09-09,Ain Kouachia,11,7.105,64.5909
2025-09-09,Zamrine,0.496,0.372,75
2025-09-09,Réserve totale,,691.2559,
2025-09-08,Sidi Mohammed Ben Abdellah,974.788,653.574,67.0478
2025-09-08,Tamesna,57,17.567,30.8193
2025-09-08,El Mellah,35,11.51,32.8857
2025-09-08,El Himer,14,1.191,8.50714
2025-09-08,Maazer,13,0,0
2025-09-08,O. Hassar,2.24,0,0
2025-09-08,Ain Kouachia,11,7.118,64.7091
2025-09-08,Zamrine,0.496,0.373,75.2016
2025-09-08,Réserve totale,,691.33295,
2025-09-07,Sidi Mohammed Ben Abdellah,974.788,653.215,67.011
2025-09-07,Tamesna,57,17.615,30.9035
2025-09-07,El Mellah,35,11.538,32.9657
2025-09-07,El Himer,14,1.197,8.55
2025-09-07,Maazer,13,0,0
2025-09-07,O. Hassar,2.24,0,0
2025-09-07,Ain Kouachia,11,7.131,64.8273
2025-09-07,Zamrine,0.496,1.197,241.331
2025-09-07,Réserve totale,,691.89307,
2025-09-06,Sidi Mohammed Ben Abdellah,974.788,653.215,67.011
2025-09-06,Tamesna,57,17,29.8246
2025-09-06,El Mellah,35,11.565,33.0429
2025-09-06,El Himer,14,1.201,8.57857
2025-09-06,Maazer,13,0,0
2025-09-06,O. Hassar,2.24,0,0
2025-09-06,Ain Kouachia,11,7.131,64.8273
2025-09-06,Zamrine,0.496,0.373,75.2016
2025-09-06,Réserve totale,,690.485,
2025-09-05,Sidi Mohammed Ben Abdellah,974.788,652.856,66.9742
2025-09-05,Tamesna,57,17.695,31.0439
2025-09-05,El Mellah,35,11.593,33.1229
2025-09-05,El Himer,14,1.204,8.6
2025-09-05,Maazer,13,0,0
2025-09-05,O. Hassar,2.24,0,0
2025-09-05,Ain Kouachia,11,7.143,64.9364
2025-09-05,Zamrine,0.496,0.375,75.6048
2025-09-05,Réserve totale,,690.866,
2025-09-04,Sidi Mohammed Ben Abdellah,974.788,652.856,66.9742
2025-09-04,Tamesna,57,17.727,31.1
2025-09-04,El Mellah,35,11.62,33.2
2025-09-04,El Himer,14,1.207,8.62143
2025-09-04,Maazer,13,0,0
2025-09-04,O. Hassar,2.24,0,0
2025-09-04,Ain Kouachia,11,7.156,65.0545
2025-09-04,Zamrine,0.496,0.375,75.6048
2025-09-04,Réserve totale,,690.941,
2025-09-03,Sidi Mohammed Ben Abdellah,974.788,652.856,66.9742
2025-09-03,Tamesna,57,17.775,31.1842
2025-09-03,El Mellah,35,11.676,33.36
2025-09-03,El Himer,14,1.21,8.64286
2025-09-03,Maazer,13,0,0
2025-09-03,O. Hassar,2.24,0,0
2025-09-03,Ain Kouachia,11,7.169,65.1727
2025-09-03,Zamrine,0.496,0.376,75.8064
2025-09-03,Réserve totale,,691.0621,
2025-09-02,Sidi Mohammed Ben Abdellah,974.788,652.856,66.9742
2025-09-02,Tamesna,57,17.823,31.2684
2025-09-02,El Mellah,35,11.703,33.4371
2025-09-02,El Himer,14,1.214,8.67143
2025-09-02,Maazer,13,0,0
2025-09-02,O. Hassar,2.24,0,0
2025-09-02,Ain Kouachia,11,7.182,65.2909
2025-09-02,Zamrine,0.496,0.376,75.8064
2025-09-02,Réserve totale,,691.154,
2025-09-01,Sidi Mohammed Ben Abdellah,974.788,652.856,66.9742
2025-09-01,Tamesna,57,17.855,31.3246
2025-09-01,El Mellah,35,11.759,33.5971
2025-09-01,El Himer,14,1.217,8.69286
2025-09-01,Maazer,13,0,0
2025-09-01,O. Hassar,2.24,0,0
2025-09-01,Ain Kouachia,11,7.195,65.4091
2025-09-01,Zamrine,0.496,0.376,75.8064
2025-09-01,Réserve totale,,691.25793,
2025-08-31,Sidi Mohammed Ben Abdellah,974.788,652.856,66.9742
2025-08-31,Tamesna,57,17.904,31.4105
2025-08-31,El Mellah,35,11.786,33.6743
2025-08-31,El Himer,14,1.22,8.71429
2025-08-31,Maazer,13,0,0
2025-08-31,O. Hassar,2.24,0,0
2025-08-31,Ain Kouachia,11,7.195,65.4091
2025-08-31,Zamrine,0.496,0.377,76.0081
2025-08-31,Réserve totale,,691.338,
2025-08-30,Sidi Mohammed Ben Abdellah,974.788,652.856,66.9742
2025-08-30,Tamesna,57,17.936,31.4667
2025-08-30,El Mellah,35,11.814,33.7543
2025-08-30,El Himer,14,1.223,8.73571
2025-08-30,Maazer,13,0,0
2025-08-30,O. Hassar,2.24,0,0
2025-08-30,Ain Kouachia,11,7.208,65.5273
2025-08-30,Zamrine,0.496,0.377,76.0081
2025-08-30,Réserve totale,,691.41406,
2025-08-29,Sidi Mohammed Ben Abdellah,974.788,653.215,67.011
